id;battle_id;agent_participant;agent_personality;persona_match;relevance;fun_factor;originality;ethical_violation;mode;intensity;session_id;created_at
950e419d-3681-4c67-86dd-f1fd49c58f91;137a564d-b708-4a08-bb2c-fcac2d25825c;B;gandhi;20;90;10;20;false;ai_vs_ai;spicy;b331b598-5d08-423a-8e69-f10ff38d8d9c;2025-12-18 05:47:31.071498+00
384f36f8-d5f1-436a-af27-9879d50af0e9;9bc69819-4e7d-432a-a181-504598f0d827;B;messi;40;40;70;10;false;human_vs_ai;spicy;8a8e9160-d4de-4219-94c1-5ba08befbb7d;2025-12-18 05:47:46.538564+00
3df09d31-8349-4b75-871b-9b74ffce1227;627dc792-b2cc-4985-aab2-9c0921957964;A;trump;70;60;80;60;false;ai_vs_ai;spicy;edf41382-894a-4f73-9753-1769ad76eb24;2025-12-18 06:03:00.092317+00
10882d1f-7038-44d7-8652-11fdfe84a31a;627dc792-b2cc-4985-aab2-9c0921957964;B;gandhi;80;80;90;90;false;ai_vs_ai;spicy;edf41382-894a-4f73-9753-1769ad76eb24;2025-12-18 06:03:00.471355+00
0da23d3f-995c-4daf-a0f1-e0cb3314d63f;43425c87-31c6-444a-b44c-db2d4437d01f;A;trump;30;60;40;30;false;ai_vs_ai;mild;4e2ab9de-b681-49d8-955a-9179f4b5d8f0;2025-12-18 06:05:37.024148+00
b6cc50d9-f7de-4762-b078-decf29406830;c126072e-23e7-462a-b609-048fc3242af9;B;genz;90;60;90;70;false;human_vs_ai;spicy;733fc18a-3cf4-426e-97fe-b9853b6e65c8;2025-12-18 07:44:39.475849+00
f7ddbab7-50dd-4d45-80d8-a99fa41770dc;35b0d5fc-db0a-4196-b3ae-41bea54afb92;A;hawking;50;90;70;70;false;ai_vs_ai;spicy;d3145fdd-cdc2-485d-8ab2-4c85d72229f4;2025-12-18 08:18:12.307556+00
8345b073-0db0-441e-9a16-a8d366d11f56;35b0d5fc-db0a-4196-b3ae-41bea54afb92;B;messi;10;60;0;20;false;ai_vs_ai;spicy;d3145fdd-cdc2-485d-8ab2-4c85d72229f4;2025-12-18 08:18:13.017494+00
f60612f4-a1dc-4ce5-8075-f54959415345;46b7f70a-118a-4f70-af27-de71da8710a7;A;hawking;70;60;50;40;false;ai_vs_ai;spicy;b2123fd6-713e-4623-9590-4e5251030b60;2025-12-18 09:30:47.018573+00
e974ed6e-4377-4c6d-886f-71364d865842;46b7f70a-118a-4f70-af27-de71da8710a7;B;trump;20;30;30;10;false;ai_vs_ai;spicy;b2123fd6-713e-4623-9590-4e5251030b60;2025-12-18 09:30:47.533317+00
d7e68264-186b-4a3c-8cf3-a47f8f36eaa8;7de804c7-0e71-47d6-9543-2fc4d5eb46c3;A;genz;60;40;10;20;false;ai_vs_ai;spicy;96920883-5be6-4831-9c80-87d4e8617d69;2025-12-18 09:32:43.320697+00
76ee288a-f4ed-4b49-a987-042f422cf1e3;7de804c7-0e71-47d6-9543-2fc4d5eb46c3;B;messi;0;20;10;0;false;ai_vs_ai;spicy;96920883-5be6-4831-9c80-87d4e8617d69;2025-12-18 09:32:43.865904+00
0d2516b1-7967-4495-8430-739c7029a793;10868295-85b3-4208-bf70-a6b24c39f4ad;A;trump;10;40;30;30;false;ai_vs_ai;spicy;7e2d3056-275b-42ef-b39d-96fa6a1c5ea0;2025-12-18 09:39:53.015831+00
ddc1aca6-30f7-4c16-b0c5-02b026ad2453;10868295-85b3-4208-bf70-a6b24c39f4ad;B;genz;50;50;50;50;false;ai_vs_ai;spicy;7e2d3056-275b-42ef-b39d-96fa6a1c5ea0;2025-12-18 09:39:53.592381+00
ddc4fe27-5afc-40b8-a069-87f61c2a8088;ec4edd8c-0dad-448e-9756-caad08330b02;A;amitabh;20;30;20;10;false;ai_vs_ai;spicy;b2e37cb2-b358-4548-bad1-5baadcab8ab0;2025-12-18 09:42:07.498282+00
f2513b11-6da5-4333-9092-e7bdc8a16d02;ec4edd8c-0dad-448e-9756-caad08330b02;B;hawking;30;20;0;20;false;ai_vs_ai;spicy;b2e37cb2-b358-4548-bad1-5baadcab8ab0;2025-12-18 09:42:08.239823+00
9ccf1d27-a90b-4154-bbe1-8f3a1ad815a0;58a87187-9489-45bd-beeb-1ebb76df4690;B;gandhi;10;20;50;60;false;human_vs_ai;spicy;65167736-7362-4c82-8a1c-07ff23e0530d;2025-12-18 14:13:07.321617+00
