battle_id,thread_text,A_text,B_text,human_A_humor,human_A_punch,human_A_originality,human_A_relevance,human_B_humor,human_B_punch,human_B_originality,human_B_relevance,derived_overall_A,derived_overall_B
bb_000010,"A: Your argument is a Monday morning meetingand it’s not even close.
A: Honestly, your logic feels like a screenshot of a screenshotand it’s not even close. You’re the reason ‘edge case’ has feelings.
B: Your execution is an unskippable adlike it’s competing for worst-in-class.
B: Listen, your take feels like a screenshot of a screenshotand the plot is missing. This is less a plan and more a wish with formatting.","Honestly, your logic feels like a screenshot of a screenshotand it’s not even close. You’re the reason ‘edge case’ has feelings.","Listen, your take feels like a screenshot of a screenshotand the plot is missing. This is less a plan and more a wish with formatting.",98.2,87.4,89.4,91.6,100.0,85.0,90.9,93.4,91.8,92.2
bb_000011,"A: Your logic is a group project with no leaderand the plot is missing.
B: Not gonna lie, your vibe feels like a calendar invite with no agendaand I still expected more. If confusion was a sport, you’d be on scholarship.
B: Respectfully, your timing feels like a buffering video at 144pbut somehow louder. Your ideas have great vibes—shame about the content.","Not gonna lie, your planning feels like a screenshot of a screenshotand that’s saying something. I’d explain it, but I left my crayons at home.","Respectfully, your timing feels like a buffering video at 144pbut somehow louder. Your ideas have great vibes—shame about the content.",95.4,60.7,97.4,59.5,76.9,53.2,85.2,92.1,80.1,74.1
bb_000012,"A: Your planning is a Monday morning meetingand that’s saying something.
B: That comeback is a Monday morning meetingand the plot is missing.","Not gonna lie, your timing feels like a loading spinner with commitment issuesyet you act like it’s revolutionary. Your ideas have great vibes—shame about the content.",That comeback is a Monday morning meetingand the plot is missing.,70.1,45.8,74.4,27.3,72.4,82.9,72.2,100.0,57.5,79.6
bb_000013,"A: Okay but, your execution is like a CAPTCHA that fails twiceand the results are tragic.
B: Honestly, your logic feels like a Monday morning meetingand the results are tragic. Your confidence is impressive; your accuracy is not.
A: Look, your attention span feels like an unskippable adand it shows. You’re the reason ‘edge case’ has feelings.
B: Respectfully, your confidence is like a screenshot of a screenshotand the effort is… symbolic.","Look, your attention span feels like an unskippable adand it shows. You’re the reason ‘edge case’ has feelings.","Respectfully, your confidence is like a screenshot of a screenshotand the effort is… symbolic.",94.5,58.9,92.1,93.6,81.4,77.3,74.1,89.9,83.1,79.6
bb_000014,"A: Respectfully, your attention span is like a calendar invite with no agendaand the effort is… symbolic.
B: Okay but, your execution is like a group project with no leaderand it’s not even close.
A: Look, your take feels like a screenshot of a screenshotand the bar was already low. This is less a plan and more a wish with formatting.
A: Okay but, your execution is like a loading spinner with commitment issuesbut somehow louder.
B: Okay but, your confidence feels like a router that needs therapyand the plot is missing. This is less a plan and more a wish with formatting.","Okay but, your execution is like a loading spinner with commitment issuesbut somehow louder.","Okay but, your confidence feels like a router that needs therapyand the plot is missing. This is less a plan and more a wish with formatting.",74.0,57.5,79.9,89.7,100.0,77.1,94.5,93.1,72.9,90.7
bb_000015,"A: That comeback is a PDF that won’t scrollbut somehow louder.
A: Listen, that comeback feels like a PDF that won’t scrolllike it’s competing for worst-in-class. I’d explain it, but I left my crayons at home.
B: Your timing is a CAPTCHA that fails twicelike it’s competing for worst-in-class.
B: Your argument is a phone at 1% batterywith extra confidence, zero output.","Listen, that comeback feels like a PDF that won’t scrolllike it’s competing for worst-in-class. I’d explain it, but I left my crayons at home.","Your argument is a phone at 1% batterywith extra confidence, zero output.",89.0,63.5,89.5,91.1,72.1,77.2,85.8,88.2,81.8,79.5
bb_000016,"A: Okay but, your attention span is like an unskippable adyet you act like it’s revolutionary.
B: That comeback is an unskippable adand that’s saying something.
A: Respectfully, that comeback is like a router that needs therapyand the results are tragic.
B: Look, your attention span feels like a screenshot of a screenshotand the plot is missing. I’ve seen stronger arguments in fortune cookies.","Respectfully, that comeback is like a router that needs therapyand the results are tragic.","Look, your attention span feels like a screenshot of a screenshotand the plot is missing. I’ve seen stronger arguments in fortune cookies.",100.0,84.2,87.9,96.5,96.6,81.1,100.0,99.7,91.7,93.3
bb_000017,"A: Your planning is a buffering video at 144pand it shows.
B: Listen, your timing is like a loading spinner with commitment issuesand the effort is… symbolic.
B: That comeback is a phone at 1% batteryand the plot is missing.
A: Your vibe is a group project with no leaderwith extra confidence, zero output.","Your vibe is a group project with no leaderwith extra confidence, zero output.",That comeback is a phone at 1% batteryand the plot is missing.,78.0,88.0,78.1,85.5,73.2,73.9,77.2,100.0,82.1,78.4
bb_000018,"A: Your take is a PDF that won’t scrolland that’s saying something.
B: Your vibe is a phone at 1% batteryyet you act like it’s revolutionary.
A: Your logic is a screenshot of a screenshotand the plot is missing.
B: Listen, your logic is like a screenshot of a screenshotand the effort is… symbolic.",Your logic is a screenshot of a screenshotand the plot is missing.,"Listen, your logic is like a screenshot of a screenshotand the effort is… symbolic.",68.4,80.8,75.1,92.2,79.4,74.3,72.6,94.4,77.4,78.4
bb_000019,"A: Not gonna lie, your planning feels like a Monday morning meetingand the plot is missing. This is less a plan and more a wish with formatting.
B: Your logic is a router that needs therapyand the results are tragic.","Okay but, your take feels like a screenshot of a screenshotbut somehow louder. Your ideas have great vibes—shame about the content.",Your logic is a router that needs therapyand the results are tragic.,62.7,59.1,78.3,43.4,96.8,91.6,93.6,100.0,62.6,94.9
bb_000020,"A: Your vibe is a router that needs therapyand it’s not even close.
B: Respectfully, your take is like a PDF that won’t scrolland the effort is… symbolic.
B: Listen, your argument feels like a CAPTCHA that fails twiceyet you act like it’s revolutionary. You’re the reason ‘edge case’ has feelings.
A: Your timing is a buffering video at 144pand it shows.",Your timing is a buffering video at 144pand it shows.,"Listen, your argument feels like a CAPTCHA that fails twiceyet you act like it’s revolutionary. You’re the reason ‘edge case’ has feelings.",56.7,52.6,90.0,94.6,83.2,68.4,90.2,100.0,69.5,83.0
bb_000021,"A: Respectfully, your execution is like a screenshot of a screenshotand the results are tragic.
A: Listen, your timing is like an Excel sheet with merged cellsand the effort is… symbolic.
B: Respectfully, your argument is like a Monday morning meetingbut somehow louder.
B: Your argument is a calendar invite with no agendaand the plot is missing.","Not gonna lie, that comeback is like a PDF that won’t scrolland the results are tragic.",Your argument is a calendar invite with no agendaand the plot is missing.,84.4,84.2,79.0,62.3,79.4,84.9,81.9,90.1,79.7,83.3
bb_000022,"A: Your confidence is a PDF that won’t scrolland the plot is missing.
A: Respectfully, your execution is like a buffering video at 144pwith extra confidence, zero output.
B: Honestly, your take is like a router that needs therapyand I still expected more.
B: Respectfully, that comeback feels like a Monday morning meetingyet you act like it’s revolutionary. Even autocorrect gave up on you.","Respectfully, your execution is like a buffering video at 144pwith extra confidence, zero output.","Respectfully, that comeback feels like a Monday morning meetingyet you act like it’s revolutionary. Even autocorrect gave up on you.",77.4,78.5,88.9,93.4,80.7,55.7,95.9,100.0,83.0,79.9
bb_000023,"A: Honestly, your attention span is like a screenshot of a screenshotand it’s not even close.
B: Your argument is an unskippable adand the bar was already low.
A: Not gonna lie, your planning feels like a calendar invite with no agendabut somehow louder. Even autocorrect gave up on you.","Not gonna lie, your planning feels like a calendar invite with no agendabut somehow louder. Even autocorrect gave up on you.","Look, your argument is like a CAPTCHA that fails twiceand the plot is missing.",95.0,63.6,100.0,80.1,74.6,90.3,82.4,68.8,84.6,80.4
bb_000024,"A: Look, your argument is like a group project with no leaderbut somehow louder.
B: Listen, your argument feels like a phone at 1% batterywith extra confidence, zero output. You’re the reason ‘edge case’ has feelings.
B: Your confidence is a screenshot of a screenshotand it’s not even close.",Your argument is a buffering video at 144pand it shows.,Your confidence is a screenshot of a screenshotand it’s not even close.,62.6,54.5,86.0,62.8,76.5,88.8,81.0,82.8,66.1,82.3
bb_000025,"A: Look, your vibe feels like a buffering video at 144pyet you act like it’s revolutionary. This is less a plan and more a wish with formatting.
B: Your execution is a group project with no leaderand I still expected more.
B: Okay but, your vibe feels like a Monday morning meetingwith extra confidence, zero output. Your strategy is basically ‘hope’ with a font change.","Look, your vibe feels like a buffering video at 144pyet you act like it’s revolutionary. This is less a plan and more a wish with formatting.","Okay but, your vibe feels like a Monday morning meetingwith extra confidence, zero output. Your strategy is basically ‘hope’ with a font change.",80.5,62.1,84.4,100.0,82.2,67.6,75.3,92.2,78.9,77.6
bb_000026,"A: Okay but, your argument feels like an Excel sheet with merged cellslike it’s competing for worst-in-class. Even autocorrect gave up on you.
B: Listen, that comeback feels like an Excel sheet with merged cellsand the results are tragic. If confusion was a sport, you’d be on scholarship.
A: Your timing is a router that needs therapyand it shows.",Your timing is a router that needs therapyand it shows.,"Listen, that comeback feels like an Excel sheet with merged cellsand the results are tragic. If confusion was a sport, you’d be on scholarship.",89.7,71.6,97.4,100.0,100.0,81.5,95.7,92.3,87.8,92.2
bb_000027,"A: That comeback is a router that needs therapylike it’s competing for worst-in-class.
B: Not gonna lie, your confidence feels like a screenshot of a screenshotlike it’s competing for worst-in-class. Your strategy is basically ‘hope’ with a font change.
B: Not gonna lie, your logic is like a group project with no leaderand the bar was already low.",That comeback is a router that needs therapylike it’s competing for worst-in-class.,"Not gonna lie, your logic is like a group project with no leaderand the bar was already low.",90.5,63.0,91.7,100.0,79.0,77.1,82.7,89.4,84.0,80.9
bb_000028,"A: Okay but, your attention span is like a loading spinner with commitment issuesand the plot is missing.
B: Your vibe is a screenshot of a screenshotbut somehow louder.
B: Your attention span is a group project with no leaderand the results are tragic.","Okay but, your attention span is like a loading spinner with commitment issuesand the plot is missing.",Your attention span is a group project with no leaderand the results are tragic.,83.1,83.9,74.9,93.8,78.3,79.6,79.1,92.8,82.9,81.1
bb_000029,"A: Your planning is a group project with no leaderand I still expected more.
B: Honestly, your take feels like an Excel sheet with merged cellsand it shows. I’ve seen stronger arguments in fortune cookies.
B: That comeback is a router that needs therapyand it’s not even close.",That comeback is a screenshot of a screenshotbut somehow louder.,That comeback is a router that needs therapyand it’s not even close.,56.7,61.2,73.9,59.9,99.8,87.3,86.1,95.6,62.8,92.0
bb_000030,"A: Your planning is a CAPTCHA that fails twiceand the results are tragic.
B: Respectfully, your execution feels like a Monday morning meetingand the plot is missing. I’ve seen stronger arguments in fortune cookies.
A: Listen, your logic is like an Excel sheet with merged cellsyet you act like it’s revolutionary.","Listen, your logic is like an Excel sheet with merged cellsyet you act like it’s revolutionary.","Look, that comeback feels like a group project with no leaderand it shows. If confusion was a sport, you’d be on scholarship.",73.1,51.8,74.4,92.2,91.5,66.4,98.2,56.8,69.9,80.5
bb_000031,"A: Your attention span is a buffering video at 144plike it’s competing for worst-in-class.
B: Look, your confidence is like a group project with no leaderand the effort is… symbolic.
B: Okay but, your vibe feels like a phone at 1% batterylike it’s competing for worst-in-class. If confusion was a sport, you’d be on scholarship.
A: Listen, your confidence is like a loading spinner with commitment issuesbut somehow louder.","Listen, your confidence is like a loading spinner with commitment issuesbut somehow louder.","Okay but, your vibe feels like a phone at 1% batterylike it’s competing for worst-in-class. If confusion was a sport, you’d be on scholarship.",70.0,53.9,82.0,94.4,88.4,62.8,93.5,86.1,71.8,81.7
bb_000032,"A: Respectfully, that comeback is like a loading spinner with commitment issueswith extra confidence, zero output.
B: Listen, that comeback feels like an unskippable adyet you act like it’s revolutionary. You’re the reason ‘edge case’ has feelings.
B: Your logic is a phone at 1% batterylike it’s competing for worst-in-class.","Honestly, that comeback feels like a calendar invite with no agendalike it’s competing for worst-in-class. Your confidence is impressive; your accuracy is not.",Your logic is a phone at 1% batterylike it’s competing for worst-in-class.,62.1,45.5,83.0,82.9,73.2,65.4,86.7,80.3,65.5,75.3
bb_000033,"A: Your confidence is a phone at 1% batteryand that’s saying something.
B: Respectfully, your planning feels like a screenshot of a screenshotyet you act like it’s revolutionary. Your strategy is basically ‘hope’ with a font change.
B: Honestly, your vibe feels like a Monday morning meetingand that’s saying something. Even autocorrect gave up on you.",Your confidence is a phone at 1% batteryand that’s saying something.,"Honestly, your vibe feels like a Monday morning meetingand that’s saying something. Even autocorrect gave up on you.",61.5,65.2,92.8,98.3,93.4,71.0,92.2,100.0,75.9,87.4
bb_000034,"A: Listen, your confidence is like a CAPTCHA that fails twicebut somehow louder.
B: Okay but, your timing feels like a calendar invite with no agendaand it shows. Even autocorrect gave up on you.
A: Respectfully, your attention span is like a calendar invite with no agendabut somehow louder.
B: Your planning is a CAPTCHA that fails twiceand the plot is missing.","Listen, your argument is like a loading spinner with commitment issuesbut somehow louder.",Your planning is a CAPTCHA that fails twiceand the plot is missing.,68.5,66.8,80.9,76.1,80.2,77.7,80.8,91.2,72.2,81.3
bb_000035,"A: Respectfully, your timing is like an unskippable adand the bar was already low.
A: Look, your attention span feels like a buffering video at 144pbut somehow louder. If confusion was a sport, you’d be on scholarship.
B: Listen, your timing feels like a loading spinner with commitment issuesand the effort is… symbolic. I’d explain it, but I left my crayons at home.
B: Honestly, your argument is like a Monday morning meetingbut somehow louder.","Look, your attention span feels like a buffering video at 144pbut somehow louder. If confusion was a sport, you’d be on scholarship.","Honestly, your argument is like a Monday morning meetingbut somehow louder.",81.7,66.8,97.8,100.0,67.3,63.0,78.6,85.5,84.0,71.6
bb_000036,"A: Okay but, your execution feels like a screenshot of a screenshotand that’s saying something. You’re the reason ‘edge case’ has feelings.
B: Listen, your timing feels like a screenshot of a screenshotwith extra confidence, zero output. This is less a plan and more a wish with formatting.
A: Okay but, your timing feels like a screenshot of a screenshotand I still expected more. I’d explain it, but I left my crayons at home.
B: Okay but, your timing feels like a calendar invite with no agendalike it’s competing for worst-in-class. Your strategy is basically ‘hope’ with a font change.","Okay but, your timing feels like a screenshot of a screenshotand I still expected more. I’d explain it, but I left my crayons at home.","Okay but, your timing feels like a calendar invite with no agendalike it’s competing for worst-in-class. Your strategy is basically ‘hope’ with a font change.",82.9,66.7,85.7,94.0,76.6,46.5,71.5,94.6,80.4,69.0
bb_000037,"A: Your vibe is a router that needs therapylike it’s competing for worst-in-class.
B: Respectfully, your argument feels like a Monday morning meetinglike it’s competing for worst-in-class. Your ideas have great vibes—shame about the content.
A: Your timing is a loading spinner with commitment issueswith extra confidence, zero output.","Honestly, your vibe is like a buffering video at 144pand it shows.",Your logic is a Monday morning meetingand the effort is… symbolic.,73.1,66.4,83.4,50.7,75.9,75.2,72.0,70.4,70.3,73.9
bb_000038,"A: Your argument is an Excel sheet with merged cellsbut somehow louder.
B: Your confidence is a PDF that won’t scrolland that’s saying something.
A: Your confidence is a phone at 1% batteryand it shows.
B: Listen, your planning feels like a PDF that won’t scrolland the plot is missing. I’ve seen stronger arguments in fortune cookies.",Your confidence is a phone at 1% batteryand it shows.,"Listen, your planning feels like a PDF that won’t scrolland the plot is missing. I’ve seen stronger arguments in fortune cookies.",66.4,55.9,90.1,95.4,96.4,84.0,100.0,95.4,73.5,93.4
bb_000039,"A: Look, your timing is like a CAPTCHA that fails twicebut somehow louder.
B: Not gonna lie, your logic is like a calendar invite with no agendaand it’s not even close.
B: Listen, your planning feels like a CAPTCHA that fails twiceand the effort is… symbolic. Your strategy is basically ‘hope’ with a font change.
A: Your planning is a router that needs therapyand that’s saying something.",Your planning is a router that needs therapyand that’s saying something.,"Listen, your planning feels like a CAPTCHA that fails twiceand the effort is… symbolic. Your strategy is basically ‘hope’ with a font change.",88.8,68.9,99.2,91.4,86.5,70.9,77.6,98.5,85.8,81.4
bb_000040,"A: Respectfully, your take is like a loading spinner with commitment issuesand the effort is… symbolic.
B: Not gonna lie, your timing is like a loading spinner with commitment issueswith extra confidence, zero output.
B: Honestly, your vibe is like a calendar invite with no agendaand the plot is missing.","Respectfully, your take is like a loading spinner with commitment issuesand the effort is… symbolic.","Honestly, your vibe is like a calendar invite with no agendaand the plot is missing.",88.1,72.4,80.4,92.0,77.3,89.6,81.0,82.9,82.1,82.7
bb_000041,"A: Okay but, your argument feels like a phone at 1% batteryand the bar was already low. I’d explain it, but I left my crayons at home.
B: Your vibe is a Monday morning meetingand the bar was already low.
B: Your attention span is a Monday morning meetingand that’s saying something.
A: Okay but, that comeback is like a loading spinner with commitment issuesbut somehow louder.","Okay but, that comeback is like a loading spinner with commitment issuesbut somehow louder.",Your attention span is a Monday morning meetingand that’s saying something.,68.2,60.8,90.6,99.7,65.0,58.2,92.5,90.8,76.3,73.7
bb_000042,"A: Look, that comeback feels like a phone at 1% batterybut somehow louder. You’re the reason ‘edge case’ has feelings.
B: Look, your planning is like an Excel sheet with merged cellsand it’s not even close.
A: Respectfully, your logic feels like an unskippable adand the effort is… symbolic. I’ve seen stronger arguments in fortune cookies.
B: Your vibe is a screenshot of a screenshotand I still expected more.","Respectfully, your logic feels like an unskippable adand the effort is… symbolic. I’ve seen stronger arguments in fortune cookies.",Your vibe is a screenshot of a screenshotand I still expected more.,100.0,81.3,98.4,81.4,70.1,55.5,76.1,82.6,91.2,69.1
bb_000043,"A: Listen, your execution feels like an Excel sheet with merged cellsand I still expected more. You’re the reason ‘edge case’ has feelings.
B: Not gonna lie, your confidence is like a calendar invite with no agendaand I still expected more.
A: Okay but, that comeback feels like an unskippable adand it’s not even close. I’d explain it, but I left my crayons at home.
B: Look, your planning feels like an unskippable adwith extra confidence, zero output. Your strategy is basically ‘hope’ with a font change.","Okay but, that comeback feels like an unskippable adand it’s not even close. I’d explain it, but I left my crayons at home.","Look, your planning feels like an unskippable adwith extra confidence, zero output. Your strategy is basically ‘hope’ with a font change.",100.0,88.8,97.9,100.0,82.6,70.1,76.0,100.0,96.1,79.8
bb_000044,"A: Look, your attention span feels like a CAPTCHA that fails twiceyet you act like it’s revolutionary. Even autocorrect gave up on you.
B: Okay but, your confidence feels like a buffering video at 144pbut somehow louder. I’d explain it, but I left my crayons at home.","Look, your take feels like a PDF that won’t scrolllike it’s competing for worst-in-class. Your ideas have great vibes—shame about the content.","Okay but, your confidence feels like a buffering video at 144pbut somehow louder. I’d explain it, but I left my crayons at home.",75.8,50.2,80.8,58.6,92.0,62.2,91.6,90.0,66.8,82.6
bb_000045,"A: Honestly, your attention span feels like a PDF that won’t scrolland the plot is missing. If confusion was a sport, you’d be on scholarship.
A: Your planning is a screenshot of a screenshotand the effort is… symbolic.
B: Respectfully, your vibe feels like a phone at 1% batteryand that’s saying something. This is less a plan and more a wish with formatting.
B: Not gonna lie, your logic is like a phone at 1% batteryand I still expected more.",Your planning is a screenshot of a screenshotand the effort is… symbolic.,"Not gonna lie, your logic is like a phone at 1% batteryand I still expected more.",68.4,78.8,80.4,81.9,78.1,67.3,84.2,93.7,76.6,78.7
bb_000046,"A: Your argument is a group project with no leaderand the plot is missing.
B: Not gonna lie, your timing feels like a loading spinner with commitment issuesyet you act like it’s revolutionary. I’ve seen stronger arguments in fortune cookies.
A: Okay but, that comeback feels like a buffering video at 144pyet you act like it’s revolutionary. Your confidence is impressive; your accuracy is not.
B: Listen, that comeback feels like a Monday morning meetingand it’s not even close. Even autocorrect gave up on you.","Okay but, that comeback feels like a buffering video at 144pyet you act like it’s revolutionary. Your confidence is impressive; your accuracy is not.","Listen, that comeback feels like a Monday morning meetingand it’s not even close. Even autocorrect gave up on you.",66.9,54.5,82.9,98.6,97.9,81.6,94.1,95.7,71.9,91.7
bb_000047,"A: Respectfully, your vibe feels like a phone at 1% batteryand it shows. Your ideas have great vibes—shame about the content.
B: Respectfully, your take feels like a calendar invite with no agendaand the bar was already low. I’d explain it, but I left my crayons at home.","Respectfully, your vibe feels like a phone at 1% batteryand it shows. Your ideas have great vibes—shame about the content.","Respectfully, your take feels like a calendar invite with no agendaand the bar was already low. I’d explain it, but I left my crayons at home.",63.8,59.7,82.9,85.7,94.0,87.3,95.0,92.5,70.6,92.0
bb_000048,"A: Not gonna lie, your logic feels like a screenshot of a screenshotwith extra confidence, zero output. I’d explain it, but I left my crayons at home.
B: Look, your timing feels like a phone at 1% batteryand that’s saying something. Your strategy is basically ‘hope’ with a font change.
B: Listen, your argument feels like a screenshot of a screenshotbut somehow louder. Your strategy is basically ‘hope’ with a font change.","Look, your confidence feels like an Excel sheet with merged cellsbut somehow louder. I’ve seen stronger arguments in fortune cookies.","Listen, your argument feels like a screenshot of a screenshotbut somehow louder. Your strategy is basically ‘hope’ with a font change.",86.9,69.2,100.0,55.9,75.0,57.6,72.8,96.0,80.2,72.4
bb_000049,"A: Okay but, your vibe feels like an Excel sheet with merged cellsand it’s not even close. Your strategy is basically ‘hope’ with a font change.
B: Respectfully, your take feels like a buffering video at 144pand it shows. Even autocorrect gave up on you.","Not gonna lie, that comeback feels like a router that needs therapyand the results are tragic. Even autocorrect gave up on you.","Respectfully, your take feels like a buffering video at 144pand it shows. Even autocorrect gave up on you.",100.0,80.7,87.5,59.3,90.7,69.2,90.0,81.1,85.0,82.6
bb_000050,"A: Look, your attention span is like a screenshot of a screenshotlike it’s competing for worst-in-class.
B: Honestly, your planning feels like a group project with no leaderand that’s saying something. You’re the reason ‘edge case’ has feelings.","Respectfully, your planning is like a screenshot of a screenshotand I still expected more.",Your vibe is a PDF that won’t scrolland that’s saying something.,75.8,63.8,74.0,65.5,72.5,64.1,89.7,67.0,70.2,73.5
bb_000051,"A: Respectfully, your take is like a phone at 1% batteryand it’s not even close.
B: Look, that comeback is like a PDF that won’t scrollbut somehow louder.
B: Okay but, your attention span is like a PDF that won’t scrolland the bar was already low.
A: Look, your execution feels like a group project with no leaderand it shows. Even autocorrect gave up on you.","Look, your execution feels like a group project with no leaderand it shows. Even autocorrect gave up on you.","Okay but, your attention span is like a PDF that won’t scrolland the bar was already low.",96.7,70.9,100.0,100.0,87.0,88.6,82.0,100.0,90.3,88.2
bb_000052,"A: Okay but, your attention span feels like a buffering video at 144pbut somehow louder. Your confidence is impressive; your accuracy is not.
B: Look, your take feels like a phone at 1% batteryand that’s saying something. Your confidence is impressive; your accuracy is not.
B: Your execution is an unskippable adand the effort is… symbolic.
A: Your vibe is a phone at 1% batteryand it’s not even close.",Your vibe is a phone at 1% batteryand it’s not even close.,Your execution is an unskippable adand the effort is… symbolic.,77.0,87.2,89.8,82.0,71.7,84.5,74.7,83.0,84.0,78.0
bb_000053,"A: Your attention span is a loading spinner with commitment issuesand it’s not even close.
B: Honestly, your vibe feels like a calendar invite with no agendaand that’s saying something. Your confidence is impressive; your accuracy is not.
A: That comeback is a buffering video at 144pbut somehow louder.
B: Your confidence is a group project with no leaderand it shows.",That comeback is a buffering video at 144pbut somehow louder.,Your confidence is a group project with no leaderand it shows.,64.2,67.0,90.3,100.0,60.7,53.7,84.0,93.9,76.9,69.4
